uni_id	FCA_id	FCA_name	steps_from_Eukaryota
Q9UBC2	2759	Eukaryota	0
P29320	33154	Opisthokonta	1
Q9HCE0	33154	Opisthokonta	1
Q6UW88	33213	Bilateria	4
B6SEH8	117571	Euteleostomi	11
Q8TE67	33154	Opisthokonta	1
Q96AP7	2759	Eukaryota	0
Q9NQ30	33213	Bilateria	4
P48664	2759	Eukaryota	0
P43004	2759	Eukaryota	0
Q6NXP0	33208	Metazoa	2
Q9HC97	33154	Opisthokonta	1
O43194	33208	Metazoa	2
Q8N4Y2	33213	Bilateria	4
A8K855	33208	Metazoa	2
Q8N7U6	2759	Eukaryota	0
Q5JPI9	2759	Eukaryota	0
P52799	2759	Eukaryota	0
Q96AZ1	2759	Eukaryota	0
Q14156	2759	Eukaryota	0
O60269	33213	Bilateria	4
P34947	33208	Metazoa	2
Q3KR37	2759	Eukaryota	0
P41594	2759	Eukaryota	0
P28799	2759	Eukaryota	0
Q99944	6072	Eumetazoa	3
Q14232	2759	Eukaryota	0
Q8TAA5	2759	Eukaryota	0
P00533	33208	Metazoa	2
Q13144	2759	Eukaryota	0
O60739	2759	Eukaryota	0
Q9UBQ5	2759	Eukaryota	0
Q3SY89	2759	Eukaryota	0
A6NLF2	2759	Eukaryota	0
O00472	2759	Eukaryota	0
Q96JJ3	2759	Eukaryota	0
Q9GZR5	2759	Eukaryota	0
O00423	33208	Metazoa	2
O95834	33208	Metazoa	2
Q6PCB8	33213	Bilateria	4
Q6ZMW3	33208	Metazoa	2
Q5T6L9	33208	Metazoa	2
Q9P0I2	2759	Eukaryota	0
O43402	2759	Eukaryota	0
Q9Y3B6	2759	Eukaryota	0
P50402	7711	Chordata	6
P54851	33154	Opisthokonta	1
Q9NT22	2759	Eukaryota	0
Q5JQS6	33213	Bilateria	4
A4D1B5	33208	Metazoa	2
Q8N8S7	2759	Eukaryota	0
Q9NRM1	2759	Eukaryota	0
Q8NFI3	2759	Eukaryota	0
O14682	7711	Chordata	6
P20036	2759	Eukaryota	0
Q9BVM2	33208	Metazoa	2
Q14181	2759	Eukaryota	0
Q7Z5Q5	2759	Eukaryota	0
Q16555	2759	Eukaryota	0
Q8IZU8	2759	Eukaryota	0
Q9UL01	2759	Eukaryota	0
O60941	33154	Opisthokonta	1
Q16690	2759	Eukaryota	0
Q9Y2E6	2759	Eukaryota	0
Q16829	2759	Eukaryota	0
Q68J44	2759	Eukaryota	0
Q99956	2759	Eukaryota	0
P63172	2759	Eukaryota	0
Q86YF9	2759	Eukaryota	0
Q05193	2759	Eukaryota	0
P63167	2759	Eukaryota	0
Q8N7B9	33213	Bilateria	4
Q8IYS0	2759	Eukaryota	0
Q14831	2759	Eukaryota	0
Q7LDG7	2759	Eukaryota	0
Q9GZT9	2759	Eukaryota	0
P49411	2759	Eukaryota	0
Q06889	2759	Eukaryota	0
Q96D98	314146	Euarchontoglires	20
O15371	2759	Eukaryota	0
P09210	2759	Eukaryota	0
O75355	2759	Eukaryota	0
Q96C92	33208	Metazoa	2
O75354	2759	Eukaryota	0
O95936	2759	Eukaryota	0
Q09472	2759	Eukaryota	0
Q96L91	7776	Gnathostomata	9
Q5NDL2	2759	Eukaryota	0
A6NDY0	2759	Eukaryota	0
P16452	2759	Eukaryota	0
O00178	33154	Opisthokonta	1
Q15375	33154	Opisthokonta	1
P29322	33154	Opisthokonta	1
O95278	6072	Eumetazoa	3
A4D1E9	2759	Eukaryota	0
P29323	33154	Opisthokonta	1
Q8TDB8	2759	Eukaryota	0
P54760	33154	Opisthokonta	1
Q7L775	33154	Opisthokonta	1
Q13627	2759	Eukaryota	0
Q9NVP4	2759	Eukaryota	0
Q8NCM8	33208	Metazoa	2
Q9UQ16	2759	Eukaryota	0
Q9P2K8	2759	Eukaryota	0
Q15075	33208	Metazoa	2
P46093	2759	Eukaryota	0
O95800	2759	Eukaryota	0
Q9NQS5	6072	Eumetazoa	3
Q6UWM5	2759	Eukaryota	0
P09341	7776	Gnathostomata	9
Q8TDF6	2759	Eukaryota	0
P18146	2759	Eukaryota	0
Q8N6I1	9347	Eutheria	18
Q6IA86	2759	Eukaryota	0
Q5TC63	2759	Eukaryota	0
Q9H9T3	2759	Eukaryota	0
Q0PNE2	2759	Eukaryota	0
O15499	2759	Eukaryota	0
Q14687	6072	Eumetazoa	3
Q6UXU4	33154	Opisthokonta	1
Q2KHT4	33154	Opisthokonta	1
P48507	33154	Opisthokonta	1
Q9H0I2	2759	Eukaryota	0
Q03111	33208	Metazoa	2
Q16206	2759	Eukaryota	0
Q9UHY7	2759	Eukaryota	0
Q9Y2J2	2759	Eukaryota	0
P30084	2759	Eukaryota	0
Q86YB7	2759	Eukaryota	0
P20800	7742	Vertebrata	8
O15354	6072	Eumetazoa	3
O43281	2759	Eukaryota	0
Q9Y2G0	2759	Eukaryota	0
Q6ZVF9	6072	Eumetazoa	3
Q13255	2759	Eukaryota	0
Q8IUY3	33208	Metazoa	2
Q8IUX8	2759	Eukaryota	0
P49770	2759	Eukaryota	0
Q9BY44	2759	Eukaryota	0
O00303	2759	Eukaryota	0
B5ME19	2759	Eukaryota	0
P19957	33208	Metazoa	2
P09104	2759	Eukaryota	0
P00390	2759	Eukaryota	0
P0CG29	2759	Eukaryota	0
Q7RTS9	2759	Eukaryota	0
A0AVK6	2759	Eukaryota	0
Q56P03	2759	Eukaryota	0
Q6P2I7	33511	Deuterostomia	5
Q14209	2759	Eukaryota	0
P42126	33208	Metazoa	2
Q9BQ95	33208	Metazoa	2
Q8WWZ3	33208	Metazoa	2
P26641	2759	Eukaryota	0
Q9BZJ7	32525	Theria	17
Q13227	33208	Metazoa	2
O75715	2759	Eukaryota	0
P59796	2759	Eukaryota	0
P52803	33154	Opisthokonta	1
Q7Z2Z2	2759	Eukaryota	0
O43921	33154	Opisthokonta	1
P52798	33154	Opisthokonta	1
A4D2P6	2759	Eukaryota	0
Q3V6T2	2759	Eukaryota	0
Q4ZG55	33154	Opisthokonta	1
Q13003	2759	Eukaryota	0
Q16099	2759	Eukaryota	0
Q16478	2759	Eukaryota	0
Q7Z2K8	2759	Eukaryota	0
Q9Y3R0	2759	Eukaryota	0
P32298	33208	Metazoa	2
O00222	2759	Eukaryota	0
Q9Y6B2	9347	Eutheria	18
Q8N140	2759	Eukaryota	0
Q9BTV6	2759	Eukaryota	0
P06746	2759	Eukaryota	0
Q9UGP5	2759	Eukaryota	0
Q9UHL4	2759	Eukaryota	0
Q07864	2759	Eukaryota	0
P27487	33154	Opisthokonta	1
Q5T2R2	2759	Eukaryota	0
Q8IXS2	2759	Eukaryota	0
Q6IAN0	2759	Eukaryota	0
Q9NZJ0	2759	Eukaryota	0
Q8TDB6	2759	Eukaryota	0
Q4G0W2	2759	Eukaryota	0
Q05923	2759	Eukaryota	0
O77932	2759	Eukaryota	0
Q96AV8	2759	Eukaryota	0
Q9NZJ5	2759	Eukaryota	0
Q008S8	2759	Eukaryota	0
Q9H8V3	2759	Eukaryota	0
P05305	33208	Metazoa	2
P68104	2759	Eukaryota	0
P46091	33208	Metazoa	2
Q7L9B9	2759	Eukaryota	0
Q9BSW2	2759	Eukaryota	0
Q5THR3	33208	Metazoa	2
Q8IV61	2759	Eukaryota	0
P38646	2759	Eukaryota	0
Q63HQ2	33208	Metazoa	2
Q9HAV7	2759	Eukaryota	0
Q8NDI1	33208	Metazoa	2
Q05215	2759	Eukaryota	0
Q9NZC4	33154	Opisthokonta	1
Q7L2H7	2759	Eukaryota	0
Q4G1C9	2759	Eukaryota	0
P30550	2759	Eukaryota	0
Q16254	2759	Eukaryota	0
Q8IYY4	2759	Eukaryota	0
Q86XF0	2759	Eukaryota	0
Q92630	2759	Eukaryota	0
Q9HAF1	2759	Eukaryota	0
Q08426	2759	Eukaryota	0
Q16610	6072	Eumetazoa	3
Q9NTX5	33208	Metazoa	2
Q19T08	33213	Bilateria	4
Q96F86	33154	Opisthokonta	1
Q9UNE0	2759	Eukaryota	0
Q9BV94	2759	Eukaryota	0
Q13304	33213	Bilateria	4
P25101	2759	Eukaryota	0
Q96G04	2759	Eukaryota	0
O00270	33208	Metazoa	2
Q8IY85	33213	Bilateria	4
O75071	33208	Metazoa	2
P13639	2759	Eukaryota	0
O15529	2759	Eukaryota	0
P46095	33208	Metazoa	2
A8MZ26	33208	Metazoa	2
Q96P67	33154	Opisthokonta	1
Q8WXG9	2759	Eukaryota	0
Q8TED1	2759	Eukaryota	0
Q9BUP0	2759	Eukaryota	0
P52797	33154	Opisthokonta	1
A6NFK2	33208	Metazoa	2
P43897	2759	Eukaryota	0
P43250	33208	Metazoa	2
Q8WTQ7	33208	Metazoa	2
P0CAP2	33213	Bilateria	4
Q96HH9	2759	Eukaryota	0
Q14416	2759	Eukaryota	0
O15303	2759	Eukaryota	0
Q9NYP3	2759	Eukaryota	0
Q8N158	2759	Eukaryota	0
Q86SJ6	2759	Eukaryota	0
Q9NZW4	33154	Opisthokonta	1
P55265	33208	Metazoa	2
Q96FN9	33208	Metazoa	2
O95147	2759	Eukaryota	0
Q9NRD8	2759	Eukaryota	0
Q9HCS5	2759	Eukaryota	0
Q66K89	2759	Eukaryota	0
P19525	2759	Eukaryota	0
Q8N1N2	33213	Bilateria	4
Q13011	2759	Eukaryota	0
P55084	2759	Eukaryota	0
O94769	33213	Bilateria	4
Q6P2E9	2759	Eukaryota	0
Q92838	6072	Eumetazoa	3
O60869	2759	Eukaryota	0
Q99678	6072	Eumetazoa	3
Q96SL4	2759	Eukaryota	0
Q5JST6	2759	Eukaryota	0
P98172	2759	Eukaryota	0
Q15768	2759	Eukaryota	0
P20827	33154	Opisthokonta	1
A8MXD5	2759	Eukaryota	0
O14638	2759	Eukaryota	0
Q9Y227	2759	Eukaryota	0
Q9UJA9	33208	Metazoa	2
Q9H4S2	2759	Eukaryota	0
Q9BZM3	2759	Eukaryota	0
Q8IYK4	2759	Eukaryota	0
Q5T4B2	2759	Eukaryota	0
Q9UNN8	33213	Bilateria	4
P56851	33213	Bilateria	4
Q99814	2759	Eukaryota	0
P21709	33154	Opisthokonta	1
Q52LR7	2759	Eukaryota	0
Q969Y2	2759	Eukaryota	0
Q9C0D9	2759	Eukaryota	0
Q9NYZ3	2759	Eukaryota	0
Q5T890	2759	Eukaryota	0
O75616	2759	Eukaryota	0
Q6P179	2759	Eukaryota	0
Q14677	2759	Eukaryota	0
P21860	33208	Metazoa	2
Q15303	33208	Metazoa	2
Q96RT1	2759	Eukaryota	0
Q2NKX8	2759	Eukaryota	0
P19447	2759	Eukaryota	0
P28715	2759	Eukaryota	0
Q03468	2759	Eukaryota	0
O14944	2759	Eukaryota	0
P15170	2759	Eukaryota	0
Q4G0M1	33208	Metazoa	2
P48449	2759	Eukaryota	0
Q96DZ1	2759	Eukaryota	0
O94905	2759	Eukaryota	0
Q96PL5	33213	Bilateria	4
P11308	2759	Eukaryota	0
A8K979	2759	Eukaryota	0
O75460	2759	Eukaryota	0
P30040	6072	Eumetazoa	3
Q9BS26	33208	Metazoa	2
Q9H501	2759	Eukaryota	0
Q56NI9	2759	Eukaryota	0
P41161	2759	Eukaryota	0
Q9H8M9	2759	Eukaryota	0
P04066	2759	Eukaryota	0
Q11130	2759	Eukaryota	0
Q9H469	2759	Eukaryota	0
Q6PCT2	2759	Eukaryota	0
Q9Y2I7	2759	Eukaryota	0
Q9Y231	2759	Eukaryota	0
O60478	2759	Eukaryota	0
Q9ULW2	2759	Eukaryota	0
Q9NXK8	2759	Eukaryota	0
Q9UP38	2759	Eukaryota	0
O75084	2759	Eukaryota	0
Q9NPG1	2759	Eukaryota	0
P11413	2759	Eukaryota	0
Q06547	2759	Eukaryota	0
Q96C23	2759	Eukaryota	0
Q9H2C0	33213	Bilateria	4
P07902	2759	Eukaryota	0
Q5JY77	2759	Eukaryota	0
P32239	33208	Metazoa	2
Q92908	2759	Eukaryota	0
P32456	2759	Eukaryota	0
P61952	33154	Opisthokonta	1
Q9P2W3	33154	Opisthokonta	1
O95166	2759	Eukaryota	0
Q6UWX4	2759	Eukaryota	0
Q9BSJ2	2759	Eukaryota	0
Q8N9F7	2759	Eukaryota	0
Q5U4N7	33213	Bilateria	4
Q6KF10	2759	Eukaryota	0
Q7Z4P5	2759	Eukaryota	0
Q9UJ14	2759	Eukaryota	0
A6NEF3	33208	Metazoa	2
Q8TF65	2759	Eukaryota	0
Q9NS71	33213	Bilateria	4
Q9Y2X7	33208	Metazoa	2
Q9NU53	33208	Metazoa	2
Q5VSY0	33154	Opisthokonta	1
Q8NEA6	2759	Eukaryota	0
O60547	2759	Eukaryota	0
O60234	33154	Opisthokonta	1
Q2TB90	2759	Eukaryota	0
P10072	2759	Eukaryota	0
P13747	33213	Bilateria	4
P38405	2759	Eukaryota	0
P19086	2759	Eukaryota	0
Q3T906	33154	Opisthokonta	1
A6NMD2	2759	Eukaryota	0
H3BSY2	2759	Eukaryota	0
Q16538	6072	Eumetazoa	3
P07359	33154	Opisthokonta	1
Q9UJ42	2759	Eukaryota	0
Q9H9Y4	2759	Eukaryota	0
Q9HCN6	33208	Metazoa	2
P07203	2759	Eukaryota	0
Q14449	2759	Eukaryota	0
O75791	6072	Eumetazoa	3
P48058	2759	Eukaryota	0
Q6EKJ0	2759	Eukaryota	0
Q4AE62	33208	Metazoa	2
Q53G44	33208	Metazoa	2
Q14240	2759	Eukaryota	0
Q9Y2T3	2759	Eukaryota	0
Q16661	33213	Bilateria	4
Q9GZV4	2759	Eukaryota	0
Q6IS14	2759	Eukaryota	0
P56537	2759	Eukaryota	0
A8MV81	2759	Eukaryota	0
Q4VC39	2759	Eukaryota	0
P06239	2759	Eukaryota	0
Q16534	33208	Metazoa	2
Q14774	2759	Eukaryota	0
P82970	9347	Eutheria	18
Q96FZ2	2759	Eukaryota	0
P35914	2759	Eukaryota	0
P07910	33154	Opisthokonta	1
Q86X24	2759	Eukaryota	0
Q6ZN01	33213	Bilateria	4
Q9Y5N1	2759	Eukaryota	0
P42357	2759	Eukaryota	0
Q96NU7	33154	Opisthokonta	1
Q9GZU1	2759	Eukaryota	0
P28356	2759	Eukaryota	0
Q9UJA3	2759	Eukaryota	0
Q4G0Z9	2759	Eukaryota	0
Q8NAC3	33213	Bilateria	4
Q9UHF4	2759	Eukaryota	0
Q08334	2759	Eukaryota	0
Q14626	33208	Metazoa	2
Q71F56	2759	Eukaryota	0
Q13257	2759	Eukaryota	0
Q9P2D0	2759	Eukaryota	0
Q93099	2759	Eukaryota	0
Q8WW32	2759	Eukaryota	0
Q9UBC0	33154	Opisthokonta	1
Q96IR7	2759	Eukaryota	0
O60760	2759	Eukaryota	0
P00739	2759	Eukaryota	0
Q86YV9	2759	Eukaryota	0
O60942	2759	Eukaryota	0
P57058	33208	Metazoa	2
D6RGH6	33154	Opisthokonta	1
P25205	2759	Eukaryota	0
O43364	2759	Eukaryota	0
Q92826	2759	Eukaryota	0
P09630	2759	Eukaryota	0
P31275	2759	Eukaryota	0
P13378	2759	Eukaryota	0
P09067	2759	Eukaryota	0
Q9H9L3	2759	Eukaryota	0
Q6DN14	2759	Eukaryota	0
P42701	33213	Bilateria	4
A6NMX2	2759	Eukaryota	0
Q9H2X8	33213	Bilateria	4
Q14642	33208	Metazoa	2
Q8NE86	2759	Eukaryota	0
Q86YW9	2759	Eukaryota	0
Q02535	2759	Eukaryota	0
P54105	2759	Eukaryota	0
O75874	2759	Eukaryota	0
Q9UG01	2759	Eukaryota	0
O14602	2759	Eukaryota	0
Q8IWW8	33154	Opisthokonta	1
Q86XE5	2759	Eukaryota	0
Q9P2W1	2759	Eukaryota	0
Q96EH3	2759	Eukaryota	0
Q96KN8	2759	Eukaryota	0
A6NE82	2759	Eukaryota	0
A6NJ08	2759	Eukaryota	0
Q9BQG0	33208	Metazoa	2
Q9UJY1	2759	Eukaryota	0
Q9BQS6	2759	Eukaryota	0
P04792	2759	Eukaryota	0
P59942	33213	Bilateria	4
Q8IX19	33213	Bilateria	4
O43464	2759	Eukaryota	0
P83105	2759	Eukaryota	0
Q92743	2759	Eukaryota	0
Q8TDB4	6072	Eumetazoa	3
Q8NHY5	33154	Opisthokonta	1
O15068	33154	Opisthokonta	1
P10911	33154	Opisthokonta	1
Q8NI22	33154	Opisthokonta	1
Q969V1	2759	Eukaryota	0
P20382	33213	Bilateria	4
Q96D96	33208	Metazoa	2
P31271	2759	Eukaryota	0
P17481	2759	Eukaryota	0
P17482	2759	Eukaryota	0
P09016	2759	Eukaryota	0
P33993	2759	Eukaryota	0
P35452	2759	Eukaryota	0
Q2M3T9	33154	Opisthokonta	1
Q9GZZ0	2759	Eukaryota	0
Q9BTE3	2759	Eukaryota	0
O00219	2759	Eukaryota	0
P07099	2759	Eukaryota	0
O97980	9347	Eutheria	18
Q9NWY4	33208	Metazoa	2
Q6MZM0	2759	Eukaryota	0
Q92902	33154	Opisthokonta	1
Q96PE7	2759	Eukaryota	0
Q9P2D3	2759	Eukaryota	0
O43719	2759	Eukaryota	0
Q99705	2759	Eukaryota	0
Q8IZK6	2759	Eukaryota	0
Q00056	2759	Eukaryota	0
Q14566	2759	Eukaryota	0
P31277	2759	Eukaryota	0
Q92819	2759	Eukaryota	0
Q12891	33154	Opisthokonta	1
Q4G0P3	2759	Eukaryota	0
Q9Y4L1	2759	Eukaryota	0
O75409	33213	Bilateria	4
Q7Z5L9	2759	Eukaryota	0
O95256	2759	Eukaryota	0
Q969J5	2759	Eukaryota	0
Q6UWB1	33213	Bilateria	4
Q9NWR8	2759	Eukaryota	0
Q96AQ8	2759	Eukaryota	0
Q15013	33208	Metazoa	2
Q8WX77	33154	Opisthokonta	1
P24592	33154	Opisthokonta	1
Q16270	33154	Opisthokonta	1
Q8WWN9	33154	Opisthokonta	1
Q9Y2F5	33208	Metazoa	2
O43301	2759	Eukaryota	0
Q7LGA3	33208	Metazoa	2
Q9Y278	2759	Eukaryota	0
P0DMV8	2759	Eukaryota	0
Q8IWL3	2759	Eukaryota	0
P32245	2759	Eukaryota	0
O43324	2759	Eukaryota	0
Q8TDD5	2759	Eukaryota	0
Q96N76	2759	Eukaryota	0
P49736	2759	Eukaryota	0
P31270	2759	Eukaryota	0
P49639	2759	Eukaryota	0
P31267	2759	Eukaryota	0
P09629	2759	Eukaryota	0
P31249	2759	Eukaryota	0
P31273	2759	Eukaryota	0
P17483	2759	Eukaryota	0
Q00444	2759	Eukaryota	0
P52789	2759	Eukaryota	0
P38567	33154	Opisthokonta	1
P35557	2759	Eukaryota	0
A2RU49	33154	Opisthokonta	1
Q9BUT9	33208	Metazoa	2
Q96EZ8	2759	Eukaryota	0
Q6ZVW7	6072	Eumetazoa	3
Q8NFM7	2759	Eukaryota	0
Q6UXL0	33213	Bilateria	4
Q13651	6072	Eumetazoa	3
Q9H1B7	2759	Eukaryota	0
Q6DN12	2759	Eukaryota	0
P14902	33154	Opisthokonta	1
Q9ULC4	2759	Eukaryota	0
Q9Y6D9	2759	Eukaryota	0
P08833	33154	Opisthokonta	1
P17936	33154	Opisthokonta	1
P41134	2759	Eukaryota	0
Q9UPZ3	2759	Eukaryota	0
Q6P1K1	2759	Eukaryota	0
P35367	2759	Eukaryota	0
Q96QI5	2759	Eukaryota	0
Q9Y663	2759	Eukaryota	0
Q9Y662	2759	Eukaryota	0
Q5U623	33208	Metazoa	2
P17066	2759	Eukaryota	0
Q8N8R3	2759	Eukaryota	0
Q9UF12	2759	Eukaryota	0
Q96F46	2759	Eukaryota	0
Q9NRM6	2759	Eukaryota	0
P49901	2759	Eukaryota	0
P78552	33208	Metazoa	2
Q14627	33208	Metazoa	2
P32019	2759	Eukaryota	0
Q2TAA2	2759	Eukaryota	0
P18065	33154	Opisthokonta	1
P20810	33208	Metazoa	2
P05362	33213	Bilateria	4
P48735	2759	Eukaryota	0
Q9HBG6	2759	Eukaryota	0
Q9Y316	2759	Eukaryota	0
Q8IU54	33213	Bilateria	4
Q13099	2759	Eukaryota	0
Q5TF39	33154	Opisthokonta	1
P09914	2759	Eukaryota	0
A6NHT5	2759	Eukaryota	0
P33032	2759	Eukaryota	0
Q07820	33208	Metazoa	2
Q7L590	2759	Eukaryota	0
P31260	2759	Eukaryota	0
P20719	2759	Eukaryota	0
P31268	2759	Eukaryota	0
P33991	2759	Eukaryota	0
P17509	2759	Eukaryota	0
P31269	2759	Eukaryota	0
P14653	2759	Eukaryota	0
P14652	2759	Eukaryota	0
P14651	2759	Eukaryota	0
P31276	2759	Eukaryota	0
P28358	2759	Eukaryota	0
P35453	2759	Eukaryota	0
Q9NXL9	2759	Eukaryota	0
P34913	2759	Eukaryota	0
P15529	7776	Gnathostomata	9
Q8IU81	2759	Eukaryota	0
Q8N6P7	2759	Eukaryota	0
Q99665	33208	Metazoa	2
Q05084	2759	Eukaryota	0
Q14676	2759	Eukaryota	0
P13598	33213	Bilateria	4
P47928	2759	Eukaryota	0
Q14197	2759	Eukaryota	0
Q8TCB0	33208	Metazoa	2
Q8IWD5	33154	Opisthokonta	1
Q8NI38	33154	Opisthokonta	1
Q8NHS3	2759	Eukaryota	0
Q14164	33208	Metazoa	2
Q9BYH8	33154	Opisthokonta	1
P18510	33208	Metazoa	2
Q1ZYL8	33213	Bilateria	4
P78504	2759	Eukaryota	0
Q14643	2759	Eukaryota	0
Q14571	2759	Eukaryota	0
Q13387	33154	Opisthokonta	1
Q9BX67	2759	Eukaryota	0
Q6NUN7	33208	Metazoa	2
Q5VZ66	2759	Eukaryota	0
P05412	2759	Eukaryota	0
Q9UH92	2759	Eukaryota	0
Q9UK76	2759	Eukaryota	0
O76095	33208	Metazoa	2
Q14667	2759	Eukaryota	0
Q92628	33208	Metazoa	2
Q6ZU52	33208	Metazoa	2
A6ND01	2759	Eukaryota	0
Q495T6	2759	Eukaryota	0
Q6ICG6	2759	Eukaryota	0
P13645	33154	Opisthokonta	1
P08727	33154	Opisthokonta	1
P35900	33154	Opisthokonta	1
Q7Z3Z0	2759	Eukaryota	0
Q7Z3Y9	33208	Metazoa	2
Q7Z3Y8	33208	Metazoa	2
Q7Z3Y7	33154	Opisthokonta	1
P13647	33208	Metazoa	2
Q5HYC2	33208	Metazoa	2
P35908	2759	Eukaryota	0
Q01546	2759	Eukaryota	0
Q7Z794	2759	Eukaryota	0
Q96T76	2759	Eukaryota	0
Q6ZRQ5	33208	Metazoa	2
Q9UPX6	33154	Opisthokonta	1
P41218	33208	Metazoa	2
P23352	2759	Eukaryota	0
P31321	2759	Eukaryota	0
Q63ZY3	2759	Eukaryota	0
Q6NY19	2759	Eukaryota	0
Q5T7N3	2759	Eukaryota	0
Q9P2N6	2759	Eukaryota	0
Q9H7Z6	2759	Eukaryota	0
O75600	2759	Eukaryota	0
Q8WVZ9	2759	Eukaryota	0
P78368	33154	Opisthokonta	1
Q693B1	33511	Deuterostomia	5
Q9BQ13	33154	Opisthokonta	1
Q96SI1	33154	Opisthokonta	1
Q6P2M8	2759	Eukaryota	0
Q9Y2U2	2759	Eukaryota	0
Q16558	2759	Eukaryota	0
Q96T54	2759	Eukaryota	0
Q9Y691	2759	Eukaryota	0
Q53RY4	33213	Bilateria	4
Q9BQ31	2759	Eukaryota	0
Q14500	2759	Eukaryota	0
Q5JUK3	2759	Eukaryota	0
P51787	2759	Eukaryota	0
P22001	2759	Eukaryota	0
Q9NS40	2759	Eukaryota	0
Q01628	33208	Metazoa	2
A6NNB3	33208	Metazoa	2
P01568	33154	Opisthokonta	1
P09912	33154	Opisthokonta	1
Q5TA45	2759	Eukaryota	0
A6NMK8	33213	Bilateria	4
Q9ULD6	33154	Opisthokonta	1
Q9UPP2	33208	Metazoa	2
Q9NP60	2759	Eukaryota	0
P78414	2759	Eukaryota	0
Q6UXK2	33213	Bilateria	4
O14498	33213	Bilateria	4
Q6H9L7	2759	Eukaryota	0
A4D126	2759	Eukaryota	0
P28290	33154	Opisthokonta	1
Q9BXW4	2759	Eukaryota	0
Q9Y219	2759	Eukaryota	0
Q8WYK2	2759	Eukaryota	0
Q14573	2759	Eukaryota	0
A0AUZ9	2759	Eukaryota	0
O95251	2759	Eukaryota	0
P49674	2759	Eukaryota	0
Q86V97	2759	Eukaryota	0
Q96CX2	33154	Opisthokonta	1
Q68DU8	33154	Opisthokonta	1
Q16322	2759	Eukaryota	0
P22459	2759	Eukaryota	0
A0A087WTH5	33213	Bilateria	4
P57789	2759	Eukaryota	0
Q8N5I3	33154	Opisthokonta	1
Q9H2S1	2759	Eukaryota	0
O95259	2759	Eukaryota	0
A8MYU2	2759	Eukaryota	0
Q8TDN2	2759	Eukaryota	0
P12532	2759	Eukaryota	0
Q7L273	2759	Eukaryota	0
O43525	2759	Eukaryota	0
Q9NSA2	2759	Eukaryota	0
P48048	2759	Eukaryota	0
Q6UW63	2759	Eukaryota	0
O60938	2759	Eukaryota	0
Q8NA19	2759	Eukaryota	0
Q8N149	2759	Eukaryota	0
Q9Y4K0	2759	Eukaryota	0
Q96JB6	2759	Eukaryota	0
O75431	2759	Eukaryota	0
Q2I0M4	33213	Bilateria	4
Q5JTD7	33208	Metazoa	2
Q9ULH4	2759	Eukaryota	0
Q6P9F7	2759	Eukaryota	0
P50851	2759	Eukaryota	0
Q5BKY1	33511	Deuterostomia	5
Q15048	33154	Opisthokonta	1
Q6UXM1	2759	Eukaryota	0
Q6ZRR7	2759	Eukaryota	0
Q9Y608	2759	Eukaryota	0
Q9UK45	2759	Eukaryota	0
Q9UHA4	33154	Opisthokonta	1
Q6IAA8	33208	Metazoa	2
